Campaign,Campaign Type,Campaign Daily Budget,Campaign status,Networks,Languages,Bid Strategy Type,Maximum CPC bid limit,Final URL suffix,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Callout text,Sitelink text,Platform targeting
"SNCO | Search | Seller Intent","Search","93.68","Scratchpad","Google Search","English","Maximize clicks","25","utm_source=google&utm_medium=cpc&utm_campaign=snoco_seller_search&utm_content={creative}&utm_term={keyword}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"seminar","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"bootcamp","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"podcast","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"wholesale contract","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"contract template","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"buyers list","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"homes for sale","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"houses for sale","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"buy a house","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"rent","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"rental","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"apartment","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"section 8","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"mortgage","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"refinance","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"loan modification","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"realtor","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"real estate agent","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"zillow","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"redfin","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"appraisal","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"free home value","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"commercial property","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"foreclosure help","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"stop foreclosure","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"foreclosure rescue","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"bankruptcy attorney","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"king county","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"pierce county","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"skagit county","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"whatcom county","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"seattle","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"tacoma","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"bellevue","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"renton","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"kent","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"auburn","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"federal way","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"bellingham","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"mount vernon","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast","Paused","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell my house fast","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell my house fast","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell house fast","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell house fast","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell my home fast","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"need to sell my house fast","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"sell house quickly","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,"fast cash offer for house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Sell House Fast",,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county","sell-house","snohomish","Sell Your House Fast","Snohomish County Home Buyer","Get an As-Is Cash Offer","No Repairs or Showings","Choose Your Closing Date","Local Washington Home Buyer","Sell Without Agent Fees","A Direct Buyer, Not a Broker","No Pressure to Accept","Start With a Short Form","Call or Text 425-548-1993","Washington Home Offers",,,,"Tell us about your Snohomish County property. We'll review it and discuss an as-is offer.","Sell without repairs, showings, or agent commissions. Choose a closing date that fits.","Washington Home Offers buys as a principal, not as your agent. No pressure to accept.","Call or use the short form to see whether a direct cash sale fits your situation.",,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer","Paused","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"cash home buyers","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"cash home buyers","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"cash buyer for my house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"we buy houses","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"sell house for cash","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"cash home buyer near me","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"local cash home buyers","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,"cash offer for my house","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Cash Home Buyer",,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county","cash-offer","snohomish","Cash Buyer for Your House","We Buy Snohomish Houses","Sell Your House As-Is","Get an As-Is Cash Offer","No Repairs or Showings","Choose Your Closing Date","Local Washington Home Buyer","Sell Without Agent Fees","A Direct Buyer, Not a Broker","No Pressure to Accept","Call or Text 425-548-1993","Washington Home Offers",,,,"Request an as-is offer for a Snohomish County house. No repairs or showings needed.","Washington Home Offers buys as a principal, not as your agent. No pressure to accept.","Choose a closing timeline that works for you and avoid traditional agent commissions.","Call or submit the short form to see whether a direct cash sale fits your situation.",,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs","Paused","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell house as is","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell house as is","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell house needing repairs","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell fixer upper house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell damaged house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"house needs too much work","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"sell house without repairs","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,"as is home buyer","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"As-Is and Repairs",,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county","sell-as-is","snohomish","Sell a House That Needs Work","No Repairs Before You Sell","As-Is Buyer in Snohomish","Skip Repairs and Showings","Get an As-Is Cash Offer","Choose Your Closing Date","Local Washington Home Buyer","Sell Without Agent Fees","A Direct Buyer, Not a Broker","No Pressure to Accept","Call or Text 425-548-1993","Washington Home Offers",,,,"Tell us what the property needs. We buy Snohomish County houses in as-is condition.","Skip repairs, cleaning, showings, and traditional agent commissions before you sell.","Washington Home Offers buys as a principal, not as your agent. No pressure to accept.","Call or submit the short form to discuss the property and your preferred timeline.",,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate","Paused","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"sell inherited house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"sell inherited house","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"cash buyer inherited house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"inherited property buyer","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"sell probate house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"sell estate house","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"cash offer inherited property","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,"sell inherited property as is","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,"Inherited and Estate",,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county","inherited","snohomish","Sell an Inherited House","Inherited Property Cash Offer","Local Buyer for Estate Homes","Sell the Property As-Is","No Repairs or Showings","Choose Your Closing Date","Local Washington Home Buyer","Sell Without Agent Fees","A Direct Buyer, Not a Broker","No Pressure to Accept","Call or Text 425-548-1993","Washington Home Offers",,,,"Discuss an inherited Snohomish County property with a local principal home buyer.","Sell in as-is condition without repairs, showings, or traditional agent commissions.","Choose a timeline that works for the estate. There is no pressure to accept an offer.","Call or submit the short form to tell us about the property and your situation.",,,
"SNCO | Search | Brand","Search","5","Scratchpad","Google Search","English","Manual CPC","4","utm_source=google&utm_medium=cpc&utm_campaign=snoco_brand&utm_content={creative}&utm_term={keyword}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Sell As-Is",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Repairs Needed",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Agent Commissions",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Choose Your Timeline",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Local Washington Buyer",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Pressure to Accept",,
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#how-it-works",,,,,,,,,,,,,,,,,,"See the three-step process","Know what happens next",,,,"How It Works","All"
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#compare",,,,,,,,,,,,,,,,,,"Review speed versus retail","Choose what fits your goals",,,,"Compare Your Options","All"
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#faq",,,,,,,,,,,,,,,,,,"Read answers before deciding","Clear principal-buyer details",,,,"Seller Questions","All"
"SNCO | Search | Brand",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#get-offer",,,,,,,,,,,,,,,,,,"Share the property basics","No obligation to accept",,,,"Request an Offer","All"
"SNCO | Search | Brand",,,,,,,,,"Snohomish County, Washington, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers","Paused","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers",,,"washington home offers","Phrase","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers",,,"washington home offers","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers",,,"washingtonhomeoffers","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers",,,"washington home offers snohomish","Exact","Paused",,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Brand",,,,,,,,,,"Washington Home Offers",,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county","home-offers","snohomish","Washington Home Offers","Snohomish County Home Buyer","Sell Your House As-Is","No Repairs or Showings","A Direct Buyer, Not a Broker","No Pressure to Accept","Call or Text 425-548-1993","Choose Your Closing Date",,,,,,,,"Washington Home Offers buys Snohomish County houses in as-is condition.","Tell us about the property and discuss whether a direct cash sale fits your plans.","We buy as a principal, not as your agent. There is no pressure to accept an offer.",,,,
